t,x_1,y_1,vx_1,vy_1,x_2,y_2,vx_2,vy_2,x_3,y_3,vx_3,vy_3
0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0
0.0008825696389598125,7.283551686167296e-28,-7.512151964400646e-34,4.498588157879557e-24,-3.0964088215882693e-30,-0.999999513169286,-0.0008825694957391329,0.0011032119770894113,-0.9999995131692386,0.999999513169286,0.0008825694957391329,-0.0011032119770894113,0.9999995131692386
0.009708266028557937,3.572487369168607e-25,-2.807918230640363e-32,1.1882691891810318e-22,-3.0964137847820412e-30,-0.9999410937130356,-0.009708075400942782,0.012135237219531674,-0.9999410930190372,0.9999410937130356,0.009708075400942782,-0.012135237219531676,0.9999410930190372
0.0979652299245392,-1.7956900702722093e-19,-1.2810230188905013e-23,-5.022138195554998e-18,2.719037357023969e-19,-0.9940041620011687,-0.09776926293652516,0.12235830669902932,-0.99399696319883,0.9940041620011687,0.09776926293652516,-0.12235830669902927,0.99399696319883
0.6463962645518501,4.015146341040009e-14,-2.2373210098971082e-14,3.062516375622426e-13,-1.157752971997528e-13,-0.7438274027744471,-0.5889778201497156,0.7759339277480585,-0.7299840633087212,0.743827402774407,0.5889778201497378,-0.7759339277483648,0.729984063308837
1.1070447001086132,1.5640043907945616e-13,-5.439115396309786e-15,2.84404505822798e-14,3.435204856808961e-13,-0.2844521184058575,-0.8083258687978876,1.1790458706780067,-0.16496563462220803,0.2844521184057049,0.8083258687978927,-1.179045870678026,0.1649656346218611
1.4156423765987156,1.391365314659877e-13,1.4233471312771331e-13,-1.3403075299182283e-13,6.659507325019791e-13,0.09533952739321183,-0.7751224940711448,1.240569851436903,0.4025701219289034,-0.09533952739334378,0.7751224940710015,-1.2405698514367591,-0.4025701219295711
1.5805054511463001,9.718338281589919e-14,2.751239392662912e-13,-3.8968110035560496e-13,9.761787341051486e-13,0.2936791841183452,-0.6806386326360208,1.1476377909153959,0.7451932024584443,-0.2936791841184335,0.6806386326357434,-1.1476377909149962,-0.7451932024594413
1.8555273923997802,-1.7887025798876053e-13,6.506452866251543e-13,-1.9983645152102098e-12,1.7730326262991115e-12,0.5594886249049391,-0.4006060321279816,0.727602080347074,1.2663068646693296,-0.5594886249047487,0.40060603212732754,-0.7276020803450656,-1.266306864671085
2.098870286526863,-1.0908507460513055e-12,1.0833596550388876e-12,-6.0638982795501205e-12,1.2654037289190238e-12,0.664546579577576,-0.05818616797956888,0.1088780319318019,1.4951918531677242,-0.6645465795764726,0.05818616797848625,-0.1088780319257483,-1.495191853168972
2.28109990643469,-2.6707137476857665e-12,1.0863655895951134e-12,-1.1653560988431414e-11,-1.861898461115773e-12,0.6380515826227464,0.21201537638444257,-0.3943386531428288,1.4361735257685995,-0.638051582620065,-0.21201537638552498,0.39433865315447203,-1.43617352576672
2.513979183830236,-6.343747349258511e-12,-6.423162525966715e-13,-1.9592663407576948e-11,-1.5309209406908463e-11,0.4820001923517175,0.5124579530091489,-0.9107184280053722,1.1063271904416236,-0.4820001923453654,-0.512457953008502,0.9107184280249544,-1.106327190426345
2.7502965785370477,-1.1559748158734515e-11,-7.173311642425099e-12,-2.4056292545527537e-11,-4.110582157410907e-11,0.22863624222984352,0.718645359118989,-1.1913731852042915,0.6288497399455979,-0.2286362422182866,-0.718645359111839,1.1913731852282297,-0.6288497399048399
3.0400457414855135,-1.6313802406468447e-11,-2.667391987195098e-11,-2.534753699179431e-12,-9.689774116397734e-11,-0.12951764148262856,0.8154912715269282,-1.234730306105911,0.0537666726324143,0.12951764149890493,-0.8154912715003905,1.234730306108327,-0.05376667253597056
3.2836962085141788,-1.0975362513325158e-11,-5.7594752475531046e-11,5.397990160563991e-11,-1.576567003167989e-10,-0.4165473241883398,0.7786686708667803,-1.1023960085788038,-0.33980763315506435,0.416547324199248,-0.7786686708094324,1.1023960085246942,0.3398076333122671
3.598619956054181,2.783464781465874e-11,-1.2111534543127658e-10,2.1282809035678316e-10,-2.451336148182628e-10,-0.7199872134091729,0.6101452984072218,-0.8083069373102754,-0.7038376467809087,0.7199872133812237,-0.6101452982864961,0.8083069370972411,0.7038376470255884
4.045168325316888,2.2238892175002626e-10,-2.4318730046487724e-10,7.339922034379102e-10,-2.5436562440474995e-10,-0.9668796876387336,0.2268017301789773,-0.2855775334415811,-0.9672015345515212,0.9668796874161366,-0.22680172993638242,0.2855775327073733,0.967201534805433
4.538538219166197,8.79084163643593e-10,-2.8282836039297725e-10,2.1281892253230277e-09,2.9836120778619306e-10,-0.9562371652834699,-0.26030786190972544,0.32825416885168557,-0.9563385815082799,0.9562371644040711,0.26030786219173696,-0.32825417098009124,0.9563385812094649
5.092815276148196,2.9108647376428306e-09,8.014982471637373e-10,5.527046028249194e-09,5.053006213559394e-09,-0.5944317764264948,-0.7005650629795209,0.9530311306116503,-0.5589512322264667,0.594431773515209,0.7005650621769544,-0.9530311361388594,0.5589512271730066
5.484744246712299,5.484191980829549e-09,5.113856639307918e-09,6.530262613709929e-09,1.9999915480263694e-08,-0.1595397996367609,-0.8164320683502021,1.226702327764404,0.010074455512830482,0.1595397941520839,0.8164320632350847,-1.2267023342948296,-0.010074475513369374
5.7287196405287215,6.284830848095252e-09,1.254995268269203e-08,-2.805823571752057e-09,4.366690567004983e-08,0.1435652371398884,-0.7578125559168778,1.2280593016737613,0.48251209949832063,-0.14356524342524396,0.7578125433655123,-1.2280592988681007,-0.48251214316584934
